    0.41000000E+03    0.43290621E-06
    0.42000000E+03    0.40966161E-06
    0.43000000E+03    0.38771545E-06
    0.44000000E+03    0.36748573E-06
    0.45000000E+03    0.34898135E-06
    0.46000000E+03    0.33193289E-06
    0.47000000E+03    0.31601000E-06
    0.48000000E+03    0.30097191E-06
    0.49000000E+03    0.28671073E-06
    0.50000000E+03    0.27322209E-06
    0.51000000E+03    0.26054198E-06
    0.52000000E+03    0.24869514E-06
    0.53000000E+03    0.23766467E-06
    0.54000000E+03    0.22739254E-06
    0.55000000E+03    0.21779259E-06
    0.56000000E+03    0.20877072E-06
    0.57000000E+03    0.20023982E-06
    0.58000000E+03    0.19213059E-06
    0.59000000E+03    0.18439446E-06
    0.60000000E+03    0.17700272E-06
    0.61000000E+03    0.16994302E-06
    0.62000000E+03    0.16321326E-06
    0.63000000E+03    0.15681647E-06
    0.64000000E+03    0.15075685E-06
    0.65000000E+03    0.14503478E-06
    0.66000000E+03    0.13964616E-06
    0.67000000E+03    0.13458112E-06
    0.68000000E+03    0.12982427E-06
    0.69000000E+03    0.12535550E-06
    0.70000000E+03    0.12115197E-06
    0.71000000E+03    0.11718842E-06
    0.72000000E+03    0.11343976E-06
    0.73000000E+03    0.10988129E-06
    0.74000000E+03    0.10649020E-06
    0.75000000E+03    0.10324576E-06
    0.76000000E+03    0.10012979E-06
    0.77000000E+03    0.97126862E-07
    0.79000000E+03    0.91412477E-07
    0.81000000E+03    0.86030825E-07
    0.82000000E+03    0.83451610E-07
    0.83000000E+03    0.80943010E-07
    0.84000000E+03    0.78503510E-07
    0.85000000E+03    0.76132596E-07
    0.86000000E+03    0.73830198E-07
    0.87000000E+03    0.71596531E-07
    0.88000000E+03    0.69432196E-07
    0.89000000E+03    0.67337477E-07
    0.90000000E+03    0.65312775E-07
    0.91000000E+03    0.63358212E-07
    0.92000000E+03    0.61473687E-07
    0.93000000E+03    0.59658791E-07
    0.94000000E+03    0.57912851E-07
    0.95000000E+03    0.56234837E-07
    0.96000000E+03    0.54623455E-07
    0.97000000E+03    0.53077259E-07
    0.98000000E+03    0.51594387E-07
    0.99000000E+03    0.50173136E-07
    0.10000000E+04    0.48811237E-07
    0.10100000E+04    0.47506488E-07
    0.10200000E+04    0.46256660E-07
    0.10300000E+04    0.45059452E-07
    0.10400000E+04    0.43912387E-07
    0.10500000E+04    0.42813045E-07
    0.10600000E+04    0.41759234E-07
    0.10700000E+04    0.40748497E-07
    0.10800000E+04    0.39778665E-07
    0.10900000E+04    0.38847406E-07
    0.11000000E+04    0.37952725E-07
